$`Amaranthus retroflexus`
             Estimate Std. Error
e:100-AWE:10 1.774870 0.05809070
e:100-AWE:50 1.865283 0.04278007
e:100-AWE:90 1.955695 0.07626711
e:50-AWE:10  1.570151 0.08324466
e:50-AWE:50  1.763324 0.04343117
e:50-AWE:90  1.956497 0.10234445
e:75-AWE:10  1.272919 0.12825789
e:75-AWE:50  1.607362 0.08417525
e:75-AWE:90  1.941804 0.20711301
e:CTRL:10    1.234351        NaN
e:CTRL:50    1.329429        NaN
e:CTRL:90    1.424507        NaN

$`Chenopodium album`
             Estimate Std. Error
e:100-AWE:10 2.335412 0.05125924
e:100-AWE:50 2.509560 0.03989248
e:100-AWE:90 2.683708 0.09510909
e:50-AWE:10  2.255808 0.06548732
e:50-AWE:50  2.422675 0.02266448
e:50-AWE:90  2.589541 0.06686990
e:75-AWE:10  2.201292 0.05794734
e:75-AWE:50  2.431774 0.02662929
e:75-AWE:90  2.662255 0.07805297
e:CTRL:10    1.480084 0.08757653
e:CTRL:50    1.811748 0.04452637
e:CTRL:90    2.143412 0.12609625

$`Conyza canadensis`
             Estimate Std. Error
e:100-AWE:10 3.175820        NaN
e:100-AWE:50 3.500209        NaN
e:100-AWE:90 3.824598        NaN
e:50-AWE:10  2.863714 0.02771842
e:50-AWE:50  2.931425 0.01332236
e:50-AWE:90  2.999137 0.02844546
e:75-AWE:10  2.979295 0.03010239
e:75-AWE:50  3.046866 0.01741242
e:75-AWE:90  3.114436 0.03912101
e:CTRL:10    2.566463 0.01943281
e:CTRL:50    2.748481 0.01180009
e:CTRL:90    2.930499 0.02913879

$`Lactuca sativa`
              Estimate Std. Error
e:100-AWE:10 0.3866028 0.12301326
e:100-AWE:50 0.7149848 0.03665404
e:100-AWE:90 1.0433668 0.14591322
e:50-AWE:10  0.3298589 1.18158900
e:50-AWE:50  0.4679497 0.73604738
e:50-AWE:90  0.6060406 0.30677573
e:75-AWE:10  0.2302385 0.18302228
e:75-AWE:50  0.5881811 0.05454346
e:75-AWE:90  0.9461237 0.13493356
e:CTRL:10    0.2298180 0.91684590
e:CTRL:50    0.3501011 0.87468179
e:CTRL:90    0.4703843 0.93470149

$`Lolium perenne`
             Estimate Std. Error
e:100-AWE:10 1.975060 0.06806421
e:100-AWE:50 2.014471 0.05934151
e:100-AWE:90 2.053882 0.06976503
e:50-AWE:10  1.706279        NaN
e:50-AWE:50  1.765487        NaN
e:50-AWE:90  1.824696        NaN
e:75-AWE:10  1.546093 0.08799585
e:75-AWE:50  1.820087 0.06828372
e:75-AWE:90  2.094080 0.16676859
e:CTRL:10    1.580765 0.07065039
e:CTRL:50    1.828491 0.04215156
e:CTRL:90    2.076217 0.09660773

$`Petroselinum crispum`
             Estimate Std. Error
e:100-AWE:10 2.007873 0.03689927
e:100-AWE:50 2.128485 0.01886771
e:100-AWE:90 2.249097 0.04596632
e:50-AWE:10  1.796936 0.06684218
e:50-AWE:50  2.085161 0.05071098
e:50-AWE:90  2.373385 0.12390343
e:75-AWE:10  1.817944 0.06598361
e:75-AWE:50  2.023250 0.02916002
e:75-AWE:90  2.228557 0.07918443
e:CTRL:10    1.684469 0.14814387
e:CTRL:50    1.734405 0.08042756
e:CTRL:90    1.784340 0.02392981

$`Pisum sativum`
              Estimate Std. Error
e:100-AWE:10 0.7302653 0.08251229
e:100-AWE:50 1.0285087 0.03370128
e:100-AWE:90 1.3267520 0.08352191
e:50-AWE:10  0.5105170 0.06907566
e:50-AWE:50  0.8361309 0.03998424
e:50-AWE:90  1.1617447 0.09436840
e:75-AWE:10  0.5210239 0.09903220
e:75-AWE:50  0.8198447 0.05964173
e:75-AWE:90  1.1186655 0.14274510
e:CTRL:10    0.3678922 0.20955982
e:CTRL:50    0.6982991 0.05583951
e:CTRL:90    1.0287060 0.21288894

$`Solanum lycopersicum`
              Estimate Std. Error
e:100-AWE:10 1.3523772 0.01842390
e:100-AWE:50 1.4476269 0.02994431
e:100-AWE:90 1.5428766 0.07166073
e:50-AWE:10  1.0651528 0.06075254
e:50-AWE:50  1.3790718 0.05528149
e:50-AWE:90  1.6929909 0.13579840
e:75-AWE:10  1.0972042 0.04316992
e:75-AWE:50  1.3161727 0.02064213
e:75-AWE:90  1.5351413 0.04549121
e:CTRL:10    0.9273088 0.21323872
e:CTRL:50    1.0555383 0.05350472
e:CTRL:90    1.1837677 0.10819544
